location,Hà Nội,Hà Nội,Hà Nội,Hà Nội
lat,20.33322,20.33322,20.33322,20.33322
lon,105.93750,105.93750,105.93750,105.93750
asl,32.773,32.773,32.773,32.773
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200607T0000,29.137028,0.0,8.466324,167.27565
20200607T0100,28.957027,0.0,8.986805,168.02386
20200607T0200,28.787027,0.0,9.682458,172.09283
20200607T0300,28.677027,0.0,10.137212,176.98721
20200607T0400,28.487026,0.0,10.389601,180.0
20200607T0500,28.287027,0.0,10.403253,177.06433
20200607T0600,28.817026,0.0,10.210455,172.50414
20200607T0700,29.917027,0.0,11.239428,174.55966
20200607T0800,31.567026,0.0,14.9184,180.0
20200607T0900,33.227028,0.0,14.420093,191.72511
20200607T1000,34.947025,0.0,13.449903,187.9696
20200607T1100,35.477028,0.0,14.388066,181.06091
20200607T1200,35.65703,0.0,15.194143,177.99045
20200607T1300,33.847027,1.3,13.845113,168.90628
20200607T1400,32.92703,1.4,14.861204,165.46555
20200607T1500,31.777027,1.3,15.259395,163.7798
20200607T1600,31.357027,0.0,15.187138,158.38522
20200607T1700,30.857027,0.0,16.4328,160.09625
20200607T1800,30.427027,0.0,16.127655,157.67134
20200607T1900,31.137028,0.0,13.118679,167.09259
20200607T2000,30.397026,0.0,13.489418,170.90973
20200607T2100,30.187027,0.0,13.3625555,175.42609
20200607T2200,29.847027,0.0,13.330651,177.7094
20200607T2300,29.557028,0.0,12.787201,180.0
20200608T0000,29.317026,0.0,12.265977,182.48955
20200608T0100,28.897026,0.0,11.458298,181.33221
20200608T0200,28.417027,0.0,11.188799,180.0
20200608T0300,27.997026,0.0,10.9223995,180.0
20200608T0400,27.617027,0.0,9.87119,176.90594
20200608T0500,27.257027,0.0,8.827452,174.80557
20200608T0600,28.097027,0.0,9.649418,173.6598
20200608T0700,30.277027,0.0,13.609885,176.63354
20200608T0800,32.51703,0.0,15.984,180.0
20200608T0900,32.777027,0.0,16.01948,183.81407
20200608T1000,33.637028,0.0,16.551136,183.69139
20200608T1100,34.737026,0.0,14.690698,184.15964
20200608T1200,35.217026,0.1,13.0536,180.0
20200608T1300,34.887028,0.0,13.8937235,175.60129
20200608T1400,33.977028,0.2,14.216876,167.00539
20200608T1500,34.547028,0.0,14.239323,162.58203
20200608T1600,33.187027,0.4,13.258586,157.55725
20200608T1700,32.697025,0.0,13.98029,149.03624
20200608T1800,31.507027,0.0,14.038547,146.61148
20200608T1900,32.297028,0.0,10.494943,156.0375
20200608T2000,31.097027,0.0,11.79403,161.56505
20200608T2100,30.497026,0.0,11.038736,160.25316
20200608T2200,29.837027,0.0,9.795408,157.61986
20200608T2300,29.117027,0.0,9.10449,159.44395
20200609T0000,28.427027,0.0,9.185971,163.1416
20200609T0100,27.857027,0.0,9.369556,165.17352
20200609T0200,27.337027,0.0,9.5644655,167.125
20200609T0300,26.897026,0.0,9.5644655,167.125
20200609T0400,26.487026,0.0,9.045838,166.373
20200609T0500,26.257027,0.0,8.343893,163.30075
20200609T0600,27.877028,0.0,8.08909,162.75854
20200609T0700,29.827026,0.0,10.293525,169.56253
20200609T0800,32.76703,0.0,11.630427,200.09523
20200609T0900,34.777027,0.0,10.210455,195.12401
20200609T1000,36.647026,0.0,9.594099,181.59114
20200609T1100,38.027027,0.0,9.914233,173.82982
20200609T1200,38.937027,0.0,8.986805,168.02386
20200609T1300,39.437027,0.0,7.033162,155.37643
20200609T1400,37.327026,0.3,7.168091,131.98721
20200609T1500,36.597027,0.7,8.795236,125.13419
20200609T1600,35.787025,0.0,11.605993,121.86598
20200609T1700,35.847027,0.0,13.9064865,126.430855
20200609T1800,34.107025,0.0,13.814322,129.52263
20200609T1900,31.857027,0.0,12.831524,131.63353
20200609T2000,30.457027,0.0,8.87156,138.65222
20200609T2100,29.647026,0.0,8.738569,142.4314
20200609T2200,29.007027,0.0,8.726379,148.73627
20200609T2300,28.467028,0.0,8.710098,156.5713
20200610T0000,28.167027,0.0,8.607647,158.1986
20200610T0100,27.777027,0.0,8.578742,154.23067
20200610T0200,27.457027,0.0,8.228268,150.94539
20200610T0300,27.697027,0.0,8.591142,150.25511
20200610T0400,28.087027,0.0,9.236053,146.7683
20200610T0500,28.007027,0.0,9.802651,137.2026
20200610T0600,28.617027,0.0,10.932142,133.02505
20200610T0700,29.127028,0.2,13.271961,141.5198
20200610T0800,29.917027,0.6,12.523633,178.78113
20200610T0900,32.097027,0.0,9.384694,173.4802
20200610T1000,34.667027,0.0,8.424308,161.56505
20200610T1100,36.49703,0.0,8.578742,154.23067
20200610T1200,37.277027,0.0,7.835059,144.68878
20200610T1300,37.357025,0.0,6.448861,141.70984
20200610T1400,35.167027,0.0,6.972355,133.45184
20200610T1500,35.957027,0.0,7.2468634,126.027374
20200610T1600,34.527027,0.0,9.460013,122.34744
20200610T1700,34.17703,0.0,10.9839525,129.09386
20200610T1800,33.127026,0.0,10.200025,130.76361
20200610T1900,31.577026,0.0,9.0732565,130.23636
20200610T2000,30.287027,0.0,6.723632,146.30992
20200610T2100,29.347027,0.0,7.1482625,153.43495
20200610T2200,28.507027,0.0,7.1730394,158.1986
20200610T2300,27.697027,0.0,6.9264,157.38013
20200611T0000,27.237026,0.0,7.329631,160.90651
20200611T0100,26.817026,0.0,7.5818768,161.56505
20200611T0200,26.347027,0.0,7.766828,157.83365
