location,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City
lat,10.66656,10.66656,10.66656,10.66656
lon,106.40625,106.40625,106.40625,106.40625
asl,1.340,1.340,1.340,1.340
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200531T0000,27.083208,0.0,6.080693,151.18921
20200531T0100,26.723207,0.0,6.2134624,149.03624
20200531T0200,26.303207,0.0,5.619714,148.57043
20200531T0300,25.923206,0.0,5.124306,152.10272
20200531T0400,25.633207,0.0,5.0264254,147.99461
20200531T0500,25.503208,0.0,4.743117,141.84277
20200531T0600,26.293207,0.0,4.713097,132.7094
20200531T0700,29.023207,0.0,7.53493,135.0
20200531T0800,30.643208,0.0,11.67914,135.0
20200531T0900,31.823208,0.0,12.432633,135.0
20200531T1000,32.893208,0.0,12.455446,138.46823
20200531T1100,33.813206,0.0,12.574532,143.61565
20200531T1200,34.563206,0.0,11.676102,145.22217
20200531T1300,35.04321,0.0,11.01299,147.8477
20200531T1400,34.123207,0.1,10.508459,149.53445
20200531T1500,33.663208,0.1,10.3656645,154.09349
20200531T1600,33.393208,0.0,9.770018,154.13364
20200531T1700,33.213207,0.0,9.061517,155.69545
20200531T1800,32.063206,0.0,7.2713056,151.55707
20200531T1900,29.393208,0.0,4.13564,165.06857
20200531T2000,28.813208,0.0,3.8142676,167.90524
20200531T2100,28.423206,0.0,3.6234312,162.89728
20200531T2200,28.043207,0.0,3.2189233,155.55605
20200531T2300,27.763206,0.0,3.118132,160.01689
20200601T0000,27.553207,0.0,3.118132,160.01689
20200601T0100,27.353207,0.0,2.8692157,158.1986
20200601T0200,27.033207,0.0,3.2189233,155.55605
20200601T0300,26.923206,0.0,2.5132127,147.99461
20200601T0400,26.783207,0.0,2.4560866,139.3987
20200601T0500,26.633207,0.0,3.0374274,142.12502
20200601T0600,26.933207,0.0,3.7862556,140.71059
20200601T0700,28.543207,0.0,4.066419,148.3925
20200601T0800,30.013206,0.0,5.394189,159.77515
20200601T0900,30.713207,0.0,5.3079824,162.47443
20200601T1000,32.053207,0.0,4.212154,161.56505
20200601T1100,32.783207,0.0,3.2408962,189.46233
20200601T1200,32.083206,0.0,3.207881,228.36647
20200601T1300,32.50321,0.1,3.7105224,248.9625
20200601T1400,32.50321,0.1,3.554219,257.00537
20200601T1500,31.923206,0.1,3.2408962,260.5377
20200601T1600,31.723207,0.2,2.9304,270.0
20200601T1700,31.723207,0.2,2.1477854,277.125
20200601T1800,31.113207,0.2,1.1302395,315.0
20200601T1900,30.893208,0.0,3.7105224,248.9625
20200601T2000,30.403208,0.0,3.207881,228.36647
20200601T2100,29.963207,0.0,3.2189233,204.44395
20200601T2200,29.493208,0.0,3.4631999,180.0
20200601T2300,29.093206,0.0,3.2408962,170.53767
20200602T0000,28.723207,0.0,3.0374272,164.74487
20200602T0100,28.353207,0.0,2.7812977,163.30075
20200602T0200,27.773207,0.0,3.5039446,171.25385
20200602T0300,27.453207,0.0,2.9304,180.0
20200602T0400,27.423206,0.0,2.6772869,185.71059
20200602T0500,27.343206,0.0,2.1967907,194.03624
20200602T0600,27.733208,0.0,1.9394212,195.9454
20200602T0700,29.103207,0.0,4.713097,227.2906
20200602T0800,30.373207,0.0,7.0331616,232.69606
20200602T0900,31.053207,0.1,7.572511,230.7106
20200602T1000,31.423206,0.0,7.093447,235.71313
20200602T1100,31.813208,0.1,6.2134624,239.03624
20200602T1200,32.233208,0.0,5.619714,238.57043
20200602T1300,33.583206,0.0,5.0264254,237.99463
20200602T1400,33.083206,0.0,4.295571,240.25513
20200602T1500,33.083206,0.0,4.066419,238.3925
20200602T1600,32.823208,0.1,2.9784427,243.43495
20200602T1700,32.77321,0.1,2.0806506,230.19443
20200602T1800,31.963207,0.1,1.332,180.0
20200602T1900,28.463207,0.0,4.765508,243.43495
20200602T2000,28.063208,0.0,3.8142672,245.22485
20200602T2100,27.793207,0.0,3.2189233,245.55606
20200602T2200,27.443207,0.0,2.2761226,249.44395
20200602T2300,27.183207,0.0,1.6204481,260.5377
20200603T0000,26.913208,0.0,1.0656,270.0
20200603T0100,26.623207,0.0,0.79920006,270.0
20200603T0200,26.333208,0.0,0.5328,270.0
20200603T0300,26.113207,0.0,0.3767465,315.0
20200603T0400,25.863207,0.0,0.5328,360.0
20200603T0500,25.713207,0.0,0.79920006,360.0
20200603T0600,25.933207,0.0,1.0983953,14.03624
20200603T0700,27.933207,0.0,1.8837326,261.8699
20200603T0800,29.603207,0.0,4.3038235,248.1986
20200603T0900,30.853207,0.0,5.2474713,246.0375
20200603T1000,31.163208,0.1,4.802594,250.55997
20200603T1100,31.013206,0.3,5.2339296,255.25644
20200603T1200,31.383207,0.2,5.4919763,255.96376
20200603T1300,32.02321,0.1,5.1243067,261.02737
20200603T1400,32.013206,0.1,4.912173,257.4712
20200603T1500,31.923206,0.1,4.72062,253.61046
20200603T1600,31.663208,0.2,4.5288,241.92752
20200603T1700,31.453207,0.2,4.3692846,232.43141
